"folio","tipo_comedor","denominacion_o_razon_social","alcaldia","calle","numero_exterior","interior","colonia","latitud","longitud"
"CPOP01","Comedor Popular","Comedor 5 Panes","IZTAPALAPA","PIRAÑA SECCIÓN 2","MZ 9","LT 11","UNIDAD HABITACIONAL CANANEA, COL. EL MOLINO",19.29377661,-99.07119201
"CPOP02","Comedor Popular","Comedor Acatitlan","IZTAPALAPA","VENUSTIANO CARRANZA","22",NA,"SANTA MARTHA ACATITLA",19.35967074,-99.00887838
"CPOP03","Comedor Popular","Comedor Ale","TLALPAN","YOBAÍN","450",NA,"TORRES DE PADIERNA",19.28124626,-99.22355897
"CPOP04","Comedor Popular","Comedor Ãlvaro ObregÃ³n","ÁLVARO OBREGÓN","BATALLA DE ACAPONETA","S/N",NA,"ÁLVARO OBREGÓN",19.37447574,-99.03620279
"CPOP05","Comedor Popular","Comedor AnÃ¡huac","IZTAPALAPA","CALLE 11","62",NA,"GRANJAS ESTRELLA",19.32270336,-99.08371508
"CPOP06","Comedor Popular","Comedor Antorcha del Carmen","MILPA ALTA","PROLONGACIÓN GUERRERO SUR","31",NA,"PUEBLO SAN PABLO OZTOTEPEC",19.17144093,-99.07201292
"CPOP07","Comedor Popular","Comedor Antorcha Popular 1","IZTAPALAPA","EMILIO AZCÁRRAGA","S/N",NA,"UNIDAD HABITACIONAL ANTORCHA POPULAR 1",19.38420142,-99.04207904
"CPOP08","Comedor Popular","Comedor Arboledas","TLALPAN","CERRADA FLOR SILVESTRE","5",NA,"SAN PEDRO MARTIR",19.2632503,-99.17702065
"CPOP09","Comedor Popular","Comedor Ayaquemetl","TLÁHUAC","VICTORIANO CORRALES","11",NA,"TETELCO, 1A SECCIÓN",19.21742625,-98.97264661
"CPOP10","Comedor Popular","Comedor Azucena","IZTAPALAPA","CERRADA DE AZUCENA","MZ 5","LT 9","LOS ÁNGELES",19.34760506,-99.07553704
"CPOP11","Comedor Popular","Comedor Belvedere","TLALPAN","BOCHIL (ESQ. PELOPONESO)","S/N",NA,"BELVEDERE",19.26723716,-99.22693055
"CPOP12","Comedor Popular","Comedor Beraca","IZTAPALAPA","LAUREL","MZ 88","LT 15","CAMPESTRE POTRERO",19.32949728,-98.97645493
"CPOP13","Comedor Popular","Comedor Bochis","MILPA ALTA","CUAUHTÉMOC","79",NA,"PUEBLO DE SAN PEDRO ATOCPAN",19.20442833,-99.04940892
