,no,ALCALDIA,NOM_INSTA,DIRECCION,geometry
0,1,Azcapotzalco,DEPORTIVO RENOVACION SOCIAL,"SANCEZ COLIN S/N, COL.PROVENCIA, AZCAPOZALCO, 02440, CIUDAD DE MEXICO.",POINT Z (-99.21489797273198 19.490780158051404 0)
1,2,Álvaro Obregón,centro deportivo y cultural plateros,"Francisco de P. Miranda
Merced Gómez, Álvaro Obregón
01600 Ciudad de México, D.F.",POINT Z (-99.19275 19.36822222200003 0)
2,3,Álvaro Obregón,Deportivo Batallón de San Patricio,AV CALLE 10 ENTRE ESCUADRO 201 Y CANARIO COL. PRIMAVEREA VICTORIA,POINT Z (-99.19891666699996 19.389638889 0)
3,4,Álvaro Obregón,DEPORTIVO LAS AGUILAS,"Cerrada Condor sn,Águilas, Álvaro Obregón,01048 Ciudad de México, D.F.",POINT Z (-99.21097532310269 19.361390271567423 0)
4,5,Álvaro Obregón,VALENTIN GOMEZ FARIAS,"Av Rio Miscoac Oriente,Lomas de Plateros, Álvaro Obregón,01480 Ciudad de México, D.F.",POINT Z (-99.20632284295539 19.36842400263753 0)
5,6,Benito Juárez,"COMPLEJO OLÍMPICO - ALBERCA ""FRANCISCO MÁRQUEZ"" Y GIMNASIO ""JUAN DE LA BARRERA""","Av. División del Norte No 2333
Benito Juárez
Gral Anaya
03340 Ciudad de México, D.F.",POINT Z (-99.15533333299996 19.35847222300002 0)
6,7,Coyoacán,PARQUE ECOLOGICO HUAYAMILPAS,"Rey Nezahualcóyotl,Huayamilpas, Coyoacán,Ciudad de México, D.F.",POINT Z (-99.14941666699994 19.32494444500001 0)
7,8,Coyoacán,PARQUE LOS CULHUACANES,"AV TAXQUEÑA S/N, COL. SAN FRANCISCO CULHUACAN, DEL. COYOACAN, C.P. 04250",POINT Z (-99.12575 19.337833333000038 0)
8,9,Coyoacán,DEPORTIVO FRANCISCO J. MUJICA,"CALZ. DE LA VIRGEN S/N, COL. CARMEN SERDAN, DEL. COYOACAN, C.P. 04910.",POINT Z (-99.10094444399998 19.322138889000012 0)
9,10,Coyoacán,PARQUE FRANCISCO J. MUJICA,"Av Canal Nacional,Culhuacan CTM IX A, Coyoacán,04480 Ciudad de México, D.F.",POINT Z (-99.10560543199993 19.32510749400005 0)
10,11,Coyoacán,CLUB DEPORTIVO CHEROKEES,"CANDELARIA PÉREZ S/N ESQ. NIMES, CEL. CTM VIII CULHUACAN, DEL. COYOACAN, C.P. 04489",POINT Z (-99.10005555499995 19.320027778000036 0)
11,12,Coyoacán,DEPORTIVO ROSARIO IGLESIAS ROCHA,"CALZ. DEL HUESO #400, COL. LOS GIRASOLES, DEL. COYOACAN, C.P. 04920",POINT Z (-99.12111111099993 19.303333334000044 0)
12,13,Gustavo A. Madero,Centro Deportivo “Miguel Alemán,Av. Lindavista s/n esq. Matanzas y Lima col. Lindavista.,POINT Z (-99.12872222199995 19.492972222000034 0)
13,14,Gustavo A. Madero,Deportivo 18 de Marzo,"Av de los Insurgentes  S/N, COL. Tepeyac Insurgentes,Del. GUSTAVO A. MADERO, C.P. 07720.",POINT Z (-99.12486228599991 19.483448367000037 0)
