,ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
0,1.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,2105,,Sn. Angel,01000,,Álvaro Obregón,POINT (-99.18802209442964 19.34685189175277)
1,2.0,TIENDAS DEPARTAMENTALES,Electra,Dr. Galvez,31,Esq. Revolución,Sn. Angel,01000,,Álvaro Obregón,POINT (-99.19066209542976 19.343471884095106)
2,3.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Camino Desierto de los Leones,52,Esq. Revolución,Sn. Angel,01000,,Álvaro Obregón,POINT (-99.18946210386913 19.34878788983623)
3,4.0,PLAZAS COMERCIALES,,Insugentes Sur,1971,Entre Río Sn. Angel y Fernando Villapando,Guadalupe Inn.,01020,,Álvaro Obregón,POINT (-99.18745610521945 19.35199289628421)
4,5.0,CENTRO COMERCIAL,CENTRO COMERCIAL EL RELOX,Insurjentes Sur,2374,Entre Privada Relox y Loreto,Ermita,01070,,Álvaro Obregón,POINT (-99.18982280640304 19.3404127413385)
5,6.0,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Revolución,S/N,Esq. Río Magdalena,Ermita,01070,,Álvaro Obregón,POINT (-99.19287309238602 19.33902887628824)
6,7.0,TIENDAS DE AUTO SERVICIO,SAMS CLUB,Periférico Sur,630,Entre Luis Cabrera y Sn. Jerónimo,Jardines del Pedregal,01900,,Álvaro Obregón,POINT (-99.20886013025292 19.330663836834415)
7,8.0,TIENDAS DE AUTO SERVICIO,"PRICE CLUB DE MÉXICO, S.A. DE C.V.",Blvr. Adolfo López Mateos,1181,Entre Sn. Antonio y Calle 10,Sn. Pedro de los Pinos,01180,,Álvaro Obregón,POINT (-99.19086320096012 19.38637690803251)
8,9.0,TIENDAS DE AUTO SERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Camino a Sta. Fé,644,Entre la Unidad Habitacional Boscoso y  la Unidad Habitacional Real del Bosque,El Cuernito,01220,,Álvaro Obregón,POINT (-99.22275631831855 19.38709183792678)
9,10.0,TIENDAS DE AUTO SERVICIO,HOME  MART,Av. Central,175,Esq. Sta. Lucia,Alfonso Xlll,01460,,Álvaro Obregón,POINT (-99.19979121442445 19.37834988353782)
10,11.0,TIENDAS DE AUTO SERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Blvr. Adolfo López Mateos,1702,Esq. Rosa de Bengala,Lomas de Plateros,01480,,Álvaro Obregón,POINT (-99.19309493620129 19.36970211221636)
11,12.0,TIENDAS DE AUTO SERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Calz. de las Águilas,820,Esq. Rómulo O'Farril,Ampl.Las Águilas,01710,,Álvaro Obregón,POINT (-99.2157249940481 19.353186265074374)
