Concepto,Género,Valor (pesos)
Proporcionar alimentos,Mujer,34.3
Proporcionar alimentos,Hombre,34.3
Limpieza,Mujer,35.1
Limpieza,Hombre,35.1
Mantenimiento,Mujer,35.7
Mantenimiento,Hombre,35.7
Limpieza y cuidado de la ropa,Mujer,34.3
Limpieza y cuidado de la ropa,Hombre,34.3
Limpieza y cuidado del calzado,Mujer,31
Limpieza y cuidado del calzado,Hombre,31
Compras de bienes y servicios,Mujer,34.3
Compras de bienes y servicios,Hombre,34.3
Administración del hogar,Mujer,38.2
Administración del hogar,Hombre,38.2
"Cuidado general, ayuda y apoyo escolar",Mujer,44.7
"Cuidado general, ayuda y apoyo escolar",Hombre,44.7
Cuidados de salud - Cuidados temporales,Mujer,33.5
Cuidados de salud - Cuidados temporales,Hombre,33.5
Cuidados de salud - Cuidados especializados,Mujer,55.5
Cuidados de salud - Cuidados especializados,Hombre,55.5
Servicios domésticos a otros hogares,Mujer,34.8
Servicios domésticos a otros hogares,Hombre,34.8
Cuidado y apoyo a personas,Mujer,45.4
Cuidado y apoyo a personas,Hombre,45.4
Servicios comunitarios y voluntarios,Mujer,53.6
Servicios comunitarios y voluntarios,Hombre,53.6
